QMetaType::Void,0,void,,,,,,,
QMetaType::Bool,1,bool,,,,,,,
QMetaType::Int,2,int,,,,,,,
QMetaType::UInt,3,unsigned int,,,,,,,
QMetaType::Double,6,double,,,,,,,
QMetaType::QChar,7,QChar,,,,,,,
QMetaType::QString,10,QString,,,,,,,
QMetaType::QByteArray,12,QByteArray,,,,,,,
QMetaType::VoidStar,128,void *,,,,,,,
QMetaType::Long,129,long,,,,,,,
QMetaType::LongLong,4,LongLong,,,,,,,
QMetaType::Short,130,short,,,,,,,
QMetaType::Char,131,char,,,,,,,
QMetaType::ULong,132,unsigned long,,,,,,,
QMetaType::ULongLong,5,ULongLong,,,,,,,
QMetaType::UShort,133,unsigned short,,,,,,,
QMetaType::UChar,134,unsigned char,,,,,,,
QMetaType::Float,135,float,,,,,,,
QMetaType::QObjectStar,136,QObject *,,,,,,,
QMetaType::QWidgetStar,137,QWidget *,,,,,,,
QMetaType::QVariant,138,QVariant,,,,,,,
QMetaType::QColorGroup,63,QColorGroup,,,,,,,
QMetaType::QCursor,74,QCursor,,,,,,,
QMetaType::QDate,14,QDate,,,,,,,
QMetaType::QSize,21,QSize,,,,,,,
QMetaType::QTime,15,QTime,,,,,,,
QMetaType::QVariantList,9,QVariantList,,,,,,,
QMetaType::QPolygon,71,QPolygon,,,,,,,
QMetaType::QColor,67,QColor,,,,,,,
QMetaType::QSizeF,22,QSizeF,,,,,,,
QMetaType::QRectF,20,QRectF,,,,,,,
QMetaType::QLine,23,QLine,,,,,,,
QMetaType::QTextLength,78,QTextLength,,,,,,,
QMetaType::QStringList,11,QStringList,,,,,,,
QMetaType::QVariantMap,8,QVariantMap,,,,,,,
QMetaType::QVariantHash,28,QVariantHash,,,,,,,
QMetaType::QIcon,69,QIcon,,,,,,,
QMetaType::QPen,77,QPen,,,,,,,cast lists
QMetaType::QLineF,24,QLineF,,,,,,,
QMetaType::QTextFormat,79,QTextFormat,,,,,,,
QMetaType::QRect,19,QRect,,,,,,,
QMetaType::QPoint,25,QPoint,,,,,,,
QMetaType::QUrl,17,QUrl,,,,,,,
QMetaType::QRegExp,27,QRegExp,,,,,,,
QMetaType::QDateTime,16,QDateTime,,,,,,,
QMetaType::QPointF,26,QPointF,,,,,,,
QMetaType::QPalette,68,QPalette,,,,,,,
QMetaType::QFont,64,QFont,,,,,,,
QMetaType::QBrush,66,QBrush,,,,,,,
QMetaType::QRegion,72,QRegion,,,,,,,
QMetaType::QBitArray,13,QBitArray,,,,,,,
QMetaType::QImage,70,QImage,,,,,,,
QMetaType::QKeySequence,76,QKeySequence,,,,,,,
QMetaType::QSizePolicy,75,QSizePolicy,,,,,,,
QMetaType::QPixmap,65,QPixmap,,,,,,,
QMetaType::QLocale,18,QLocale,,,,,,,
QMetaType::QBitmap,73,QBitmap,,,,,,,
QMetaType::QMatrix,80,QMatrix,,,,,,,
QMetaType::QTransform,81,QTransform,,,,,,,
QMetaType::QMatrix4x4,82,QMatrix4x4,,,,,,,
QMetaType::QVector2D,83,QVector2D,,,,,,,
QMetaType::QVector3D,84,QVector3D,,,,,,,
QMetaType::QVector4D,85,QVector4D,,,,,,,
QMetaType::QQuaternion,86,QQuaternion,,,,,,,
QMetaType::QEasingCurve,29,QEasingCurve,,,,,,,
QMetaType::User,256,Base value for user types,,,,,,,
